ValueDate,Hourcet,Cons,month,Wind,Solar
2019-07-01,1,47096.5,7,15875.0,0.0
2019-07-01,2,45371.4,7,14882.1,0.0
2019-07-01,3,44588.5,7,13262.7,0.0
2019-07-01,4,44238.9,7,11280.4,0.0
2019-07-01,5,45390.3,7,9858.6,0.0
2019-07-01,6,48119.7,7,9607.0,417.9
2019-07-01,7,56904.6,7,9501.3,2570.7
2019-07-01,8,63407.1,7,9444.4,6736.0
2019-07-01,9,67134.6,7,9889.1,11628.1
2019-07-01,10,68134.5,7,11987.7,16489.3
2019-07-01,11,69588.7,7,15459.3,20212.2
2019-07-01,12,72155.2,7,18522.8,22753.8
2019-07-01,13,71219.4,7,21487.4,23688.6
2019-07-01,14,71041.3,7,24373.5,21729.6
2019-07-01,15,69999.7,7,25090.9,20798.9
2019-07-01,16,68792.5,7,25306.8,18362.8
2019-07-01,17,67224.6,7,25918.5,16601.0
2019-07-01,18,65979.4,7,26644.9,14305.1
2019-07-01,19,64469.1,7,26355.2,9694.6
2019-07-01,20,63826.8,7,24847.1,5187.9
2019-07-01,21,60704.9,7,22292.0,1677.7
2019-07-01,22,58230.8,7,19910.8,167.4
2019-07-01,23,56099.9,7,19797.9,0.0
2019-07-01,24,51800.9,7,20401.9,0.0
2019-07-02,1,49809.4,7,18333.9,0.0
2019-07-02,2,47783.5,7,18578.0,0.0
2019-07-02,3,47130.1,7,18358.4,0.0
2019-07-02,4,47069.7,7,17951.7,0.0
2019-07-02,5,48112.2,7,17859.1,0.0
2019-07-02,6,50446.0,7,17315.8,366.4
2019-07-02,7,58295.6,7,16732.1,2394.1
2019-07-02,8,63981.9,7,17377.1,6614.3
2019-07-02,9,66886.1,7,18598.0,10579.1
2019-07-02,10,66639.1,7,18880.6,14688.3
2019-07-02,11,67020.1,7,18315.9,18106.2
2019-07-02,12,68662.9,7,17703.9,20906.5
2019-07-02,13,68002.4,7,18060.3,22478.5
2019-07-02,14,68029.1,7,17780.2,21757.2
2019-07-02,15,67300.3,7,17753.4,20979.1
2019-07-02,16,66540.7,7,18512.4,19548.0
2019-07-02,17,64901.0,7,18921.1,18088.5
2019-07-02,18,63657.1,7,18750.3,14895.4
2019-07-02,19,62303.8,7,18084.2,10844.6
2019-07-02,20,61851.4,7,16972.0,5906.8
2019-07-02,21,59052.4,7,14960.9,1912.2
2019-07-02,22,57364.5,7,13134.2,185.6
2019-07-02,23,55693.7,7,12380.9,0.0
2019-07-02,24,51820.4,7,11854.2,0.0
2019-07-03,1,49314.0,7,9780.4,0.0
2019-07-03,2,47753.6,7,9965.3,0.0
2019-07-03,3,47109.5,7,9804.9,0.0
2019-07-03,4,47081.7,7,9068.2,0.0
2019-07-03,5,48173.4,7,8065.1,0.0
2019-07-03,6,50448.2,7,7406.0,414.1
2019-07-03,7,58206.1,7,6772.8,2741.8
2019-07-03,8,63742.1,7,7162.7,7578.3
2019-07-03,9,66574.3,7,8054.7,13093.1
2019-07-03,10,66260.6,7,8395.8,18324.3
2019-07-03,11,67260.4,7,8540.5,21469.4
