ValueDate,Hourcet,Cons,month,Wind,Solar
2019-05-01,1,44742.0,5,6068.0,0.0
2019-05-01,2,42545.4,5,5954.3,0.0
2019-05-01,3,41495.4,5,6195.6,0.0
2019-05-01,4,41173.3,5,6253.8,0.0
2019-05-01,5,41711.7,5,6344.2,0.0
2019-05-01,6,41861.0,5,7380.2,12.9
2019-05-01,7,41385.7,5,8058.5,1156.9
2019-05-01,8,43281.7,5,7649.4,4755.5
2019-05-01,9,46029.7,5,7186.4,9906.9
2019-05-01,10,48605.0,5,7274.0,14490.6
2019-05-01,11,50837.5,5,7634.8,18120.8
2019-05-01,12,52622.6,5,7866.5,23029.0
2019-05-01,13,52145.4,5,8419.1,25384.2
2019-05-01,14,50411.8,5,9938.0,27924.7
2019-05-01,15,48625.9,5,11633.5,25963.2
2019-05-01,16,47374.8,5,13007.3,21403.6
2019-05-01,17,46492.4,5,14077.2,17620.5
2019-05-01,18,48124.1,5,14364.2,13481.3
2019-05-01,19,49593.6,5,13721.9,8414.8
2019-05-01,20,49097.3,5,13746.2,3249.9
2019-05-01,21,49754.6,5,14376.7,350.7
2019-05-01,22,50375.8,5,15246.2,0.0
2019-05-01,23,48682.0,5,15183.6,0.0
2019-05-01,24,46395.0,5,14707.2,0.0
2019-05-02,1,45275.8,5,14515.1,0.0
2019-05-02,2,43844.1,5,15091.6,0.0
2019-05-02,3,43609.3,5,15028.7,0.0
2019-05-02,4,44231.8,5,14808.6,0.0
2019-05-02,5,45929.9,5,14617.1,0.0
2019-05-02,6,48948.1,5,14642.6,16.7
2019-05-02,7,55287.4,5,14980.0,1322.0
2019-05-02,8,63285.9,5,15629.7,5447.7
2019-05-02,9,67839.1,5,16582.3,11104.8
2019-05-02,10,68036.8,5,17554.2,16559.1
2019-05-02,11,69253.9,5,18348.8,21553.7
2019-05-02,12,70595.5,5,19402.2,24618.8
2019-05-02,13,69751.6,5,21300.5,22691.3
2019-05-02,14,69092.6,5,22580.9,19720.8
2019-05-02,15,67954.2,5,22315.2,17336.9
2019-05-02,16,66626.0,5,21882.5,15675.0
2019-05-02,17,64883.1,5,21141.3,13090.5
2019-05-02,18,65368.0,5,19227.3,8857.8
2019-05-02,19,65348.8,5,17820.5,4527.3
2019-05-02,20,63640.8,5,17205.8,1946.5
2019-05-02,21,62558.4,5,16634.6,214.8
2019-05-02,22,61022.5,5,16983.8,0.0
2019-05-02,23,57154.6,5,17035.2,0.0
2019-05-02,24,53392.7,5,16326.8,0.0
2019-05-03,1,50532.0,5,19046.9,0.0
2019-05-03,2,48644.9,5,19069.4,0.0
