ValueDate,Hourcet,Cons,month,Wind,Solar
2019-12-01,1,51911.3226,12,4491.07087,0.0
2019-12-01,2,49614.70711,12,4358.08571,0.0
2019-12-01,3,48694.5858,12,4459.535,0.0
2019-12-01,4,48468.09126,12,4368.52264,0.0
2019-12-01,5,49156.97029,12,4526.16196,0.0
2019-12-01,6,48505.73948,12,4959.31319,0.0
2019-12-01,7,48409.11917,12,5106.57976,0.0
2019-12-01,8,50085.41527,12,4907.9552,2.91674
2019-12-01,9,51347.10762,12,5225.20534,810.18559
2019-12-01,10,54126.1709,12,4749.66055,2616.15884
2019-12-01,11,56331.05781,12,3773.0643,4795.52171
2019-12-01,12,58908.3044,12,3071.81793,5074.20534
2019-12-01,13,58960.24053,12,3364.07229,5039.77872
2019-12-01,14,57556.71109,12,4172.81353,3652.79806
2019-12-01,15,56120.94857,12,5155.80068,1857.55632
2019-12-01,16,55642.53903,12,5527.56237,613.976
2019-12-01,17,58092.55356,12,5696.11654,20.66512
2019-12-01,18,61399.11926,12,7288.70944,0.0
2019-12-01,19,62139.95993,12,9052.25196,0.0
2019-12-01,20,61061.94801,12,9890.80842,0.0
2019-12-01,21,59573.41696,12,9540.91337,0.0
2019-12-01,22,58326.04342,12,8120.34519,0.0
2019-12-01,23,58190.77586,12,7838.99343,0.0
2019-12-01,24,55603.29381,12,8660.41698,0.0
2019-12-02,1,53674.29261,12,11080.30749,0.0
2019-12-02,2,52261.86912,12,11847.87818,0.0
2019-12-02,3,51866.66174,12,12645.51166,0.0
2019-12-02,4,52283.05529,12,13936.56067,0.0
2019-12-02,5,54190.98901,12,14678.14763,0.0
2019-12-02,6,57519.06433,12,15428.49004,0.0
2019-12-02,7,67032.15901,12,16619.88006,0.0
2019-12-02,8,74501.5254,12,18011.75833,0.0
2019-12-02,9,75445.1225,12,18865.44926,716.3207
2019-12-02,10,75573.55735,12,19095.05757,3130.8677
2019-12-02,11,75940.06523,12,20111.68075,5020.93843
2019-12-02,12,76719.10233,12,20663.08801,6795.27203
2019-12-02,13,76000.70866,12,20682.03685,6867.33019
2019-12-02,14,76448.51248,12,21000.58615,5561.92961
2019-12-02,15,75677.2625,12,20733.28265,3564.16396
2019-12-02,16,75037.53728,12,19047.33125,1512.03539
2019-12-02,17,75960.89197,12,17582.12586,55.56151
2019-12-02,18,78178.35362,12,16692.15694,0.0
2019-12-02,19,76540.29726,12,15444.03502,0.0
2019-12-02,20,74534.94538,12,13610.77142,0.0
2019-12-02,21,71379.55924,12,11526.07441,0.0
2019-12-02,22,67927.78126,12,9497.64375,0.0
2019-12-02,23,64686.58072,12,7966.71134,0.0
2019-12-02,24,60384.26127,12,7100.82614,0.0
2019-12-03,1,57198.85672,12,5704.47275,0.0
2019-12-03,2,55358.34078,12,4810.53765,0.0
2019-12-03,3,54646.89356,12,4598.80187,0.0
2019-12-03,4,54924.12659,12,4621.46379,0.0
2019-12-03,5,56477.2396,12,4644.38665,0.0
2019-12-03,6,59268.24554,12,4941.00112,0.0
2019-12-03,7,68102.9906,12,5175.52624,0.0
2019-12-03,8,74898.03527,12,5487.34814,0.0
2019-12-03,9,75249.54485,12,5789.87607,560.91914
2019-12-03,10,75164.9013,12,6112.11194,2766.48425
2019-12-03,11,75353.37469,12,6738.95528,4440.16317
2019-12-03,12,76223.35523,12,7927.16349,5072.05333
2019-12-03,13,75459.69376,12,9261.43122,5091.2573
2019-12-03,14,75274.46838,12,9677.77059,4944.89215
2019-12-03,15,74342.56901,12,9991.51241,3361.22838
2019-12-03,16,74273.6746,12,11064.70999,1279.15517
2019-12-03,17,75531.68359,12,12308.87115,48.23593
2019-12-03,18,77744.087,12,13383.43033,0.0
2019-12-03,19,76225.87355,12,14869.80503,0.0
2019-12-03,20,74215.59016,12,15894.4153,0.0
2019-12-03,21,70945.11114,12,16506.3501,0.0
2019-12-03,22,67390.41861,12,16737.54754,0.0
2019-12-03,23,63988.50223,12,16306.6419,0.0
2019-12-03,24,59712.07639,12,15673.70503,0.0
2019-12-04,1,55935.27726,12,15917.77913,0.0
2019-12-04,2,54098.02636,12,15261.05194,0.0
2019-12-04,3,53587.76188,12,14705.97077,0.0
2019-12-04,4,53816.07927,12,13679.18834,0.0
2019-12-04,5,55269.45592,12,12936.68903,0.0
2019-12-04,6,58501.58853,12,12208.62711,0.0
2019-12-04,7,67615.6151,12,11972.34731,0.0
2019-12-04,8,74770.52254,12,11671.43446,2.92399
2019-12-04,9,75576.35552,12,10834.07642,1051.37745
2019-12-04,10,74547.19603,12,9955.24884,5077.80841
2019-12-04,11,74355.95755,12,9049.52404,8812.52138
2019-12-04,12,74458.7308,12,8518.76444,11334.53293
2019-12-04,13,73189.21119,12,8471.83859,12242.99642
2019-12-04,14,73542.19074,12,8481.75181,11109.77563
2019-12-04,15,72364.21266,12,8442.78726,7888.38815
2019-12-04,16,71731.7551,12,9058.58118,2529.35442
2019-12-04,17,73537.53103,12,10134.33254,64.80617
2019-12-04,18,76297.28403,12,10078.07979,0.0
2019-12-04,19,74763.13576,12,9825.79992,0.0
2019-12-04,20,72967.85445,12,9959.80055,0.0
2019-12-04,21,69691.28854,12,9824.28769,0.0
2019-12-04,22,66714.24154,12,9418.176,0.0
2019-12-04,23,63665.62137,12,9024.51236,0.0
2019-12-04,24,59683.96775,12,9182.68079,0.0
2019-12-05,1,56889.2967,12,10087.8104,0.0
2019-12-05,2,55210.67087,12,10305.73436,0.0
2019-12-05,3,54488.98804,12,10284.60038,0.0
2019-12-05,4,54706.88721,12,10081.40382,0.0
2019-12-05,5,56003.75582,12,9955.01127,0.0
2019-12-05,6,59126.58355,12,10485.6392,0.0
2019-12-05,7,68420.02944,12,11464.38241,0.0
2019-12-05,8,75516.70554,12,12223.44711,2.91734
2019-12-05,9,75722.25059,12,12626.13411,1218.44295
2019-12-05,10,74386.62934,12,12490.13866,6652.10846
2019-12-05,11,74069.5585,12,11997.02478,10664.41543
2019-12-05,12,74515.93051,12,11548.84162,12908.18154
2019-12-05,13,73724.32594,12,11465.47556,13266.67075
2019-12-05,14,74062.48355,12,12065.56233,11643.3273
2019-12-05,15,73327.84793,12,13655.94269,8141.92022
2019-12-05,16,73225.26982,12,15880.09111,2541.38286
2019-12-05,17,74974.1701,12,18145.66332,62.54091
2019-12-05,18,77280.31483,12,19264.68511,0.0
2019-12-05,19,75598.7152,12,20980.14163,0.0
2019-12-05,20,73722.85071,12,23887.05791,0.0
2019-12-05,21,70758.5497,12,25755.10686,0.0
2019-12-05,22,67897.61233,12,26645.77858,0.0
2019-12-05,23,65410.21113,12,27540.50688,0.0
2019-12-05,24,61887.70649,12,28893.98722,0.0
2019-12-06,1,59033.48911,12,29110.78089,0.0
2019-12-06,2,57145.69786,12,30568.53562,0.0
2019-12-06,3,56157.03169,12,32192.6651,0.0
2019-12-06,4,56007.66725,12,32995.47916,0.0
2019-12-06,5,57001.36237,12,33468.93685,0.0
2019-12-06,6,60114.8061,12,33947.3785,0.0
2019-12-06,7,68370.09101,12,34201.33369,0.0
2019-12-06,8,74926.39668,12,34676.3489,0.0
2019-12-06,9,75631.414,12,34413.83549,810.54475
2019-12-06,10,75130.0184,12,34372.19619,3435.65964
2019-12-06,11,74935.3444,12,33963.75367,5519.18302
2019-12-06,12,75025.31202,12,33551.3821,6590.0189
2019-12-06,13,74164.1457,12,33661.72576,6801.16416
2019-12-06,14,73623.02043,12,34399.76286,6138.06645
2019-12-06,15,72849.03996,12,35298.24116,4058.33507
2019-12-06,16,72209.22681,12,35916.46448,1189.19892
2019-12-06,17,73854.99446,12,36815.88079,34.42175
2019-12-06,18,75740.82472,12,37658.29743,0.0
2019-12-06,19,73387.37842,12,37642.42918,0.0
2019-12-06,20,70616.17708,12,37800.75645,0.0
2019-12-06,21,67582.99493,12,38460.06308,0.0
2019-12-06,22,64491.36786,12,38601.74373,0.0
2019-12-06,23,62352.87492,12,38620.19147,0.0
2019-12-06,24,58924.08492,12,39258.17023,0.0
2019-12-07,1,55463.13069,12,38848.82271,0.0
2019-12-07,2,53001.90768,12,38469.63087,0.0
2019-12-07,3,51422.85734,12,38353.22424,0.0
2019-12-07,4,50769.44887,12,38526.19943,0.0
2019-12-07,5,51052.21492,12,38343.47732,0.0
2019-12-07,6,50555.39503,12,37333.58924,0.0
2019-12-07,7,51970.53049,12,36946.26565,0.0
